location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
INDO10,3.81381,99.979625,Continental,29.37740954,30.04372144,30.43033173,31.16460615,0.704328
INDO11,4.386205,95.315216,Continental,29.18128335,29.98675605,30.3609734,31.35153126,0.398284
INDO12,7.887417,93.86019,Oceanic,28.57112473,29.392161,29.70088445,30.72637388,0.523202
INDO13,10.565959,92.880388,Oceanic,28.47090912,29.3096915,29.53835793,30.68021012,0.809425
INDO14,14.28658,93.797004,Oceanic,28.26847595,29.10782607,29.2873915,30.42021647,1.42936
INDO2,-9.582536,117.232741,Continental,28.1679933,28.9148711,29.36005619,30.38164025,1.558120886
INDO3,-8.795259,112.132833,Continental,27.94326201,28.55481177,29.06861093,30.06320398,1.617819606
INDO4,-7.772421,106.116205,Continental,28.30871423,28.79783344,29.28693867,30.26660455,1.260000939
INDO5,-7.471108,116.735141,Continental,28.59895683,29.32099701,29.7567275,30.84017832,1.176307902
INDO6,-4.672279,106.948949,Continental,28.90718407,29.78418666,30.07795332,31.13311346,0.541315909
INDO7,-4.477298,102.201114,Continental,28.59555288,29.12004069,29.62408503,30.59480825,0.614004947
INDO8,-0.759897,105.260849,Continental,28.7941726,29.66909554,29.99504201,30.97899765,0.882683856
INDO9,0.848148,98.427791,Continental,29.30619898,30.03213943,30.54316416,31.44942128,0.46296
Iriomote,24.329328,124.373269,Oceanic,26.09176509,27.02880962,27.48561885,28.25046006,3.158945939
JAPAN1,24.196608,141.532578,Oceanic,26.30024879,27.33582109,27.63854631,28.78917955,3.22345225
JAPAN10,30.479738,140.32485,Oceanic,23.13479271,24.31445631,24.49817136,25.39310163,4.027557992
JAPAN11,30.632297,130.630682,Oceanic,23.50713469,24.56383431,25.13803017,25.99929116,4.03677397
JAPAN12,33.28525,133.423737,Continental,22.27762434,23.39301651,23.91190359,24.78566718,4.543719523
JAPAN3,24.44858,131.2071,Oceanic,25.79042282,26.98983332,27.07391077,28.17663675,3.344410144
JAPAN4,25.884185,131.327102,Oceanic,25.07908173,26.3053594,26.4415235,27.43506776,3.513380977
JAPAN6,26.515119,142.17473,Oceanic,24.54344421,25.69952916,25.74837738,27.01174738,3.567629212
JAPAN7,27.602007,142.22111,Oceanic,24.03936142,25.29895717,25.28327901,26.53766185,3.711062038
JAPAN8,27.845077,141.295326,Oceanic,23.95707825,25.21835322,25.24683705,26.45075602,3.762560515
JAPAN9,28.643388,129.397603,Oceanic,24.6490032,25.6710313,26.22795777,26.97635942,3.708142462
JOHNSTON,16.728194,-169.570513,Oceanic,26.52605888,27.4665763,27.95517646,29.25579342,1.165633
Kanton,-2.746698,-171.607598,Oceanic,28.64941284,29.77911102,30.33561694,31.50920983,0.373184485
Kavieng,-3.694601,151.617326,Continental,29.42059154,30.22753081,31.18061588,32.04089692,0.380036735
KOSRAE,5.265718,163.063995,Oceanic,29.06929092,30.12640889,30.79874293,31.79377161,0.383951409
LINE1,-4.837054,-155.360502,Oceanic,28.08610931,29.06166855,29.46408681,30.5494633,0.275172182
LINE2,-0.436528,-159.877507,Oceanic,27.30503494,28.44775175,29.01672529,30.21391691,0.516625894
LINE3,1.911813,-157.170168,Oceanic,27.30037721,28.47383794,28.95784088,30.13826868,0.621123
